,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
172,Boroondara,31/12/2020,88.6%,10:36,1355
173,Brimbank,31/12/2020,86.3%,11:09,"2,523"
174,Buloke,31/12/2020,34.0%,24:39,94
175,Campaspe,31/12/2020,63.3%,14:27,607
176,Cardinia,31/12/2020,70.4%,13:16,"1,333"
177,Casey,31/12/2020,80.8%,11:52,"3,600"
178,Central Goldfields,31/12/2020,60.2%,15:47,231
179,Colac-Otway,31/12/2020,64.7%,15:41,269
180,Corangamite,31/12/2020,51.4%,17:34,218
181,Darebin,31/12/2020,90.9%,10:15,"1,875"
182,East Gippsland,31/12/2020,61.8%,16:17,820
183,Frankston,31/12/2020,87.8%,10:33,"2,188"
184,Gannawarra,31/12/2020,52.3%,18:49,151
185,Glen Eira,31/12/2020,89.1%,10:42,"1,294"
186,Glenelg,31/12/2020,80.1%,12:22,241
187,Golden Plains,31/12/2020,27.7%,20:54,235
188,Greater Bendigo,31/12/2020,74.0%,13:29,"1,923"
189,Greater Dandenong,31/12/2020,88.4%,10:36,"2,023"
190,Greater Geelong,31/12/2020,79.6%,12:14,"3,943"
191,Greater Shepparton,31/12/2020,81.7%,11:33,"1,196"
192,Hepburn,31/12/2020,42.6%,19:39,242
193,Hindmarsh,31/12/2020,59.8%,19:02,107
194,Hobsons Bay,31/12/2020,81.5%,11:54,"1,061"
195,Horsham,31/12/2020,84.2%,10:52,304
196,Hume,31/12/2020,78.8%,12:03,"3,412"
197,Indigo,31/12/2020,21.5%,23:12,158
198,Kingston,31/12/2020,86.4%,11:04,"1,767"
199,Knox,31/12/2020,90.0%,10:29,"1,654"
200,Latrobe,31/12/2020,79.5%,11:32,"1,643"
201,Loddon,31/12/2020,29.7%,23:41,128
202,Macedon Ranges,31/12/2020,60.5%,14:55,607
203,Manningham,31/12/2020,83.5%,12:07,"1,147"
204,Mansfield,31/12/2020,44.6%,25:24,121
205,Maribyrnong,31/12/2020,87.4%,10:34,894
206,Maroondah,31/12/2020,90.5%,9:50,1373
207,Melbourne,31/12/2020,92.0%,9:06,"2,005"
208,Melton,31/12/2020,75.9%,12:49,"2,216"
209,Mildura,31/12/2020,80.9%,12:10,891
210,Mitchell,31/12/2020,63.6%,14:36,635
211,Moira,31/12/2020,53.7%,17:42,561
212,Monash,31/12/2020,85.9%,11:15,"1,771"
213,Moonee Valley,31/12/2020,85.6%,11:26,"1,425"
214,Moorabool,31/12/2020,59.8%,15:12,433
215,Moreland,31/12/2020,88.0%,11:05,"1,993"
216,Mornington Peninsula,31/12/2020,76.1%,12:15,"2,510"
217,Mount Alexander,31/12/2020,43.9%,19:12,230
218,Moyne,31/12/2020,50.6%,16:33,160
219,Murrindindi,31/12/2020,48.7%,20:05,197
220,Nillumbik,31/12/2020,63.4%,14:17,574
221,Northern Grampians,31/12/2020,59.4%,16:23,219
222,Port Phillip,31/12/2020,91.2%,9:49,"1,187"
223,Pyrenees,31/12/2020,42.0%,19:29,112
224,Queenscliffe,31/12/2020,59.6%,17:10,57
225,South Gippsland,31/12/2020,49.9%,18:06,419
226,Southern Grampians,31/12/2020,61.5%,16:27,182
227,Stonnington,31/12/2020,88.4%,10:33,929
228,Strathbogie,31/12/2020,44.5%,18:55,218
229,Surf Coast,31/12/2020,61.1%,15:16,429
230,Swan Hill,31/12/2020,70.0%,14:26,327
231,Towong,31/12/2020,26.3%,30:20,80
232,Wangaratta,31/12/2020,73.6%,13:46,470
233,Warrnambool,31/12/2020,90.5%,10:21,442
234,Wellington,31/12/2020,56.6%,16:03,702
235,West Wimmera,31/12/2020,34.9%,22:04,43
236,Whitehorse,31/12/2020,90.3%,10:10,"1,581"
237,Whittlesea,31/12/2020,78.8%,12:06,"2,596"
238,Wodonga,31/12/2020,83.5%,11:33,626
239,Wyndham,31/12/2020,78.0%,12:19,"2,396"
240,Yarra,31/12/2020,91.7%,9:32,940
241,Yarra Ranges,31/12/2020,72.0%,13:03,"1,911"
242,Yarriambiack,31/12/2020,37.4%,22:41,115
243,Unincorporated,31/12/2020,0%,55:48,8
244,Interstate LGAs,31/12/2020,61.5%,18:36,291
245,Total AV,31/12/2020,79.3%,12:16,"78,668"
246,Alpine,31/03/2021,40.0%,23:49,210
247,Ararat,31/03/2021,58.9%,17:14,158
248,Ballarat,31/03/2021,84.3%,11:51,"1,725"
249,Banyule,31/03/2021,84.0%,11:33,"1,543"
250,Bass Coast,31/03/2021,60.7%,16:10,708
251,Baw Baw,31/03/2021,66.1%,15:04,859
252,Bayside,31/03/2021,79.1%,13:11,856
253,Benalla,31/03/2021,58.9%,17:59,224
254,Boroondara,31/03/2021,84.7%,12:09,"1,338"
255,Brimbank,31/03/2021,80.0%,12:33,"2,702"
256,Buloke,31/03/2021,34.1%,24:53,85
257,Campaspe,31/03/2021,64.5%,14:19,595
258,Cardinia,31/03/2021,64.6%,14:54,"1,405"
259,Casey,31/03/2021,76.3%,12:50,"3,898"
260,Central Goldfields,31/03/2021,56.0%,17:50,252
261,Colac-Otway,31/03/2021,64.0%,16:24,275
262,Corangamite,31/03/2021,60.7%,15:27,196
263,Darebin,31/03/2021,84.9%,11:44,"1,982"
264,East Gippsland,31/03/2021,58.4%,17:20,819
265,Frankston,31/03/2021,84.5%,11:27,"2,184"
266,Gannawarra,31/03/2021,41.0%,21:28,134
267,Glen Eira,31/03/2021,83.2%,11:54,"1,321"
268,Glenelg,31/03/2021,71.2%,14:25,260
269,Golden Plains,31/03/2021,26.4%,21:30,216
270,Greater Bendigo,31/03/2021,74.5%,13:19,"1,908"
271,Greater Dandenong,31/03/2021,84.2%,11:29,"2,067"
272,Greater Geelong,31/03/2021,78.4%,12:28,"3,835"
273,Greater Shepparton,31/03/2021,80.4%,12:16,"1,197"
274,Hepburn,31/03/2021,38.2%,19:13,228
275,Hindmarsh,31/03/2021,56.6%,20:10,83
276,Hobsons Bay,31/03/2021,76.5%,12:54,"1,083"
277,Horsham,31/03/2021,79.1%,11:39,297
278,Hume,31/03/2021,72.1%,13:43,"3,585"
279,Indigo,31/03/2021,27.6%,22:39,199
280,Kingston,31/03/2021,79.4%,12:30,"1,754"
281,Knox,31/03/2021,85.3%,11:26,"1,779"
282,Latrobe,31/03/2021,77.2%,12:11,"1,594"
283,Loddon,31/03/2021,27.3%,23:32,128
284,Macedon Ranges,31/03/2021,61.3%,15:14,560
285,Manningham,31/03/2021,80.1%,13:07,"1,160"
286,Mansfield,31/03/2021,32.4%,28:17,105
287,Maribyrnong,31/03/2021,81.7%,12:04,968
288,Maroondah,31/03/2021,87.0%,10:51,"1,374"
289,Melbourne,31/03/2021,85.3%,11:06,"2,371"
290,Melton,31/03/2021,67.4%,14:22,2252
291,Mildura,31/03/2021,80.1%,12:14,871
292,Mitchell,31/03/2021,60.2%,15:16,716
293,Moira,31/03/2021,46.1%,20:12,623
294,Monash,31/03/2021,80.6%,12:17,"1,834"
295,Moonee Valley,31/03/2021,82.8%,12:08,"1,430"
296,Moorabool,31/03/2021,58.5%,15:28,448
297,Moreland,31/03/2021,82.6%,12:30,"2,295"
298,Mornington Peninsula,31/03/2021,71.7%,13:19,"2,669"
299,Mount Alexander,31/03/2021,43.9%,20:19,253
300,Moyne,31/03/2021,40.5%,18:50,173
301,Murrindindi,31/03/2021,33.5%,22:28,251
302,Nillumbik,31/03/2021,57.4%,16:16,589
303,Northern Grampians,31/03/2021,58.3%,15:53,204
